client-api 2.5
audio-decoders 184
A rka | rka | RKA (RK Audio)
A s302m | s302m | SMPTE 302M
A sga | sga | Digital Pictures SGA Video
A shorten | shorten | Shorten
A sipr | sipr | RealAudio SIPR / ACELP.NET
A smackaudio | smackaud | Smacker audio
A speex | libspeex | libspeex Speex
A speex | speex | Speex
A tak | tak | TAK (Tom's lossless Audio Kompressor)
A truehd | truehd | TrueHD
A truespeech | truespeech | DSP Group TrueSpeech
A tta | tta | TTA (True Audio)
A twinvq | twinvq | VQF TwinVQ
A vmdaudio | vmdaudio | Sierra VMD audio
A vorbis | libvorbis | libvorbis
A vorbis | vorbis | Vorbis
A wavarc | wavarc | Waveform Archiver
A wavpack | wavpack | WavPack
A wmalossless | wmalossless | Windows Media Audio Lossless
A wmapro | wmapro | Windows Media Audio 9 Professional
A wmav1 | wmav1 | Windows Media Audio 1
A wmav2 | wmav2 | Windows Media Audio 2
A wmavoice | wmavoice | Windows Media Audio Voice
A xan_dpcm | xan_dpcm | DPCM Xan
other-decoders 326
V 012v | 012v | Uncompressed 4:2:2 10-bit
V 4xm | 4xm | 4X Movie
V 8bps | 8bps | QuickTime 8BPS video
V 8svx_exp | 8svx_exp | 8SVX exponential
V 8svx_fib | 8svx_fib | 8SVX fibonacci
V aasc | aasc | Autodesk RLE
V acelp.kelvin | acelp.kelvin | Sipro ACELP.KELVIN
V agm | agm | Amuse Graphics Movie
V aic | aic | Apple Intermediate Codec
V alias_pix | alias_pix | Alias/Wavefront PIX image
V amr_nb | amrnb | AMR-NB (Adaptive Multi-Rate NarrowBand)
V amr_wb | amrwb | AMR-WB (Adaptive Multi-Rate WideBand)
V amv | amv | AMV Video
V anm | anm | Deluxe Paint Animation
V ansi | ansi | ASCII/ANSI art
V anull | anull | null audio
V apng | apng | APNG (Animated Portable Network Graphics) image
V aptx | aptx | aptX (Audio Processing Technology for Bluetooth)
V aptx_hd | aptx_hd | aptX HD (Audio Processing Technology for Bluetooth)
V apv | apv | Advanced Professional Video
V arbc | arbc | Gryphon's Anim Compressor
V argo | argo | Argonaut Games Video
V asv1 | asv1 | ASUS V1
V asv2 | asv2 | ASUS V2
V aura | aura | Auravision AURA
V aura2 | aura2 | Auravision Aura 2
V av1 | av1 | Alliance for Open Media AV1
V av1 | av1_amf | AV1 AMD AMF video decoder
V av1 | av1_cuvid | Nvidia CUVID AV1 decoder
V av1 | av1_qsv | AV1 video (Intel Quick Sync Video acceleration)
V av1 | libdav1d | dav1d AV1 decoder by VideoLAN
V avc | on2avc | On2 Audio for Video Codec
V avrn | avrn | Avid AVI Codec
V avrp | avrp | Avid 1:1 10-bit RGB Packer
V avs | avs | AVS (Audio Video Standard) video
V avs3 | libuavs3d | libuavs3d AVS3-P2/IEEE1857.10
V avui | avui | Avid Meridien Uncompressed
V bethsoftvid | bethsoftvid | Bethesda VID video
V bfi | bfi | Brute Force & Ignorance
V binkvideo | binkvideo | Bink video
V bintext | bintext | Binary text
V bitpacked | bitpacked | Bitpacked
V bmp | bmp | BMP (Windows and OS/2 bitmap)
V bmv_audio | bmv_audio | Discworld II BMV audio
V bmv_video | bmv_video | Discworld II BMV video
V brender_pix | brender_pix | BRender PIX image
V c93 | c93 | Interplay C93
V cavs | cavs | Chinese AVS (Audio Video Standard) (AVS1-P2, JiZhun profile)
V cbd2_dpcm | cbd2_dpcm | DPCM Cuberoot-Delta-Exact
V cdgraphics | cdgraphics | CD Graphics video
V cdtoons | cdtoons | CDToons video
V cdxl | cdxl | Commodore CDXL video
V cfhd | cfhd | GoPro CineForm HD
V cinepak | cinepak | Cinepak
V clearvideo | clearvideo | Iterated Systems ClearVideo
V cljr | cljr | Cirrus Logic AccuPak
V cllc | cllc | Canopus Lossless Codec
V cmv | eacmv | Electronic Arts CMV video
V cpia | cpia | CPiA video format
V cri | cri | Cintel RAW
